Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58;time_p1;time_p2;time_p3;time_p4;time_p5;time_p6;sex;age;SO04;SO06;longstr;avgstr;longstr1;longstr6;longstrDiff;irvTotal;irv1;irv6;irvDiff;res_mahad;res_psycsyn;res_evenodd;res_u3poly
1;5;4;4;2;4;2;4;2;2;4;2;4;2;5;2;4;3;2;2;2;4;2;3;4;5;3;4;2;5;3;3;4;5;4;4;2;4;5;2;4;2;2;1;5;1;5;4;2;2;2;1;4;2;4;2;2;2;2;2;2;64221,25;81161,11;64579,5;51121,5;36808;66204;1;23;1;1;4;1,3953488372093;3;2;1;1,20965980182785;1,24721912892465;0,918936583472681;0,328282545451966;72,452927619486;-0,408749296432058;0,92701233908604;0,2634
0;4;2;2;1;3;4;2;1;4;4;5;3;3;4;2;4;2;1;4;2;3;4;4;3;2;2;2;3;1;4;1;4;3;2;2;4;4;4;3;4;2;3;4;4;2;5;4;4;2;4;4;4;2;4;2;5;2;3;2;2;52766,56;49615,56;53581,33;44720;42587;62375,36;1;30;1;3;4;1,27659574468085;3;3;0;1,10161668561887;1,15470053837925;1,03279555898864;0,121904979390607;57,7132060544398;-0,0830741310465378;0,674945283432379;0,1646
0;3;4;4;2;4;3;2;2;4;4;4;3;4;2;2;3;2;4;4;3;4;4;5;4;4;2;4;4;5;4;2;4;2;4;4;3;4;2;5;3;3;4;4;2;2;4;4;4;4;4;3;3;2;3;3;5;4;4;4;4;74481,33;81426,19;72144,25;59823,19;48251,67;49070;1;20;1;1;4;1,42857142857143;2;1;1;1,0078785685982;0,942809041582063;1,26491106406735;-0,322102022485288;50,5452634443736;-0,225266731303265;-0,162924302524645;0,0924
0;1;3;1;2;4;4;1;4;3;4;4;1;4;2;2;2;1;5;5;3;5;2;2;5;1;5;4;1;5;2;3;1;1;5;2;3;3;3;3;1;4;2;4;1;1;2;2;1;2;4;4;2;1;3;3;1;2;3;1;1;48222,22;53300;56674;43777,78;39528,31;54666,95;2;18;1;1;2;1,17647058823529;2;2;0;1,38790172074275;1,56347191994114;1,71269767715535;-0,149225757214207;104,555910351246;-0,185892004878885;0,977398348243083;0,2958
1;5;3;5;4;1;3;3;2;3;4;4;5;2;4;5;4;3;4;5;5;3;1;5;3;4;2;4;4;2;4;3;4;4;3;5;5;3;5;2;4;3;4;3;3;3;3;3;3;5;4;5;3;5;3;3;4;5;3;3;3;50497,5;45801,62;43876,67;38842,22;31612,22;39373,33;2;21;1;1;2;1,13207547169811;2;2;0;1,19733696978296;1,41813649241218;0,948683298050514;0,469453194361663;70,1836521131289;-0,15689793697117;0,409323562416998;0,2015
0;2;4;4;4;4;4;4;4;4;5;3;3;2;2;4;3;4;3;4;4;4;4;4;4;2;4;4;4;5;4;1;4;4;2;4;4;4;1;4;4;3;4;4;1;2;4;4;4;5;4;4;4;3;4;4;4;2;2;2;3;54145,56;50035,56;37938,75;46250;47305,78;44458,89;1;24;1;1;7;1,57894736842105;2;4;-2;1,08651206830678;1,19721899973786;0,788810637746616;0,408408361991249;49,3696583871972;-0,0252586467254467;0,682656280312516;0,1305
1;3;4;5;5;2;2;2;4;4;4;4;4;5;2;4;2;2;3;4;4;5;2;3;3;2;2;5;4;5;4;2;3;4;5;4;4;5;2;2;2;2;3;3;3;3;4;4;4;5;4;3;2;2;3;2;4;2;2;4;3;59235,56;65428,89;55854;56837,78;44005;64557,78;1;27;1;1;3;1,36363636363636;2;3;-1;1,12131379763577;1,22927259430572;1,15950180872841;0,0697707855773126;56,422991230141;-0,20303568710118;0,945357585642712;0,1369
0;3;2;4;4;5;2;5;4;4;4;5;4;3;5;4;2;2;4;5;4;5;3;5;2;5;3;4;4;2;5;4;5;2;2;4;5;5;1;5;3;4;5;4;3;3;3;4;4;5;5;4;2;1;3;5;4;4;4;3;4;52301,11;58396;65520,35;45466,67;44652,22;65828,88;1;21;1;1;3;1,15384615384615;2;1;1;1,34657968058269;1,26491106406735;1,22927259430572;0,0356384697616334;62,9564004909054;-0,477013002797109;-1;0,1924
0;3;3;1;1;3;2;3;1;3;2;2;2;1;1;1;2;1;1;1;2;1;1;1;3;1;1;1;3;1;4;5;3;4;4;5;4;4;2;4;5;1;3;2;2;5;5;4;3;2;4;4;5;4;4;3;5;3;5;5;3;56675;55884;49168,89;53929;49736;51660,3;1;25;1;1;4;1,33333333333333;2;4;-2;1,03320575119082;0,816496580927726;0,966091783079296;-0,14959520215157;87,7114285653527;0,00177193590663686;0,570896578673698;0,401
0;4;1;3;1;5;3;4;4;4;4;4;4;2;3;4;4;2;2;5;3;3;3;4;2;2;4;1;5;4;5;1;4;2;3;5;5;5;4;5;4;3;4;5;5;3;4;5;5;2;5;5;4;3;5;3;5;5;2;3;3;42202;40956,25;36908,89;35998,89;42167,78;46570;1;25;1;1;3;1,27659574468085;3;2;1;1,31441379170306;1,50923085635624;1,22927259430572;0,279958262050518;61,4458096196748;-0,159223467730283;0,535506011947616;0,2358
1;5;3;2;5;2;2;2;3;5;5;2;5;2;4;2;3;1;5;4;3;2;4;5;4;5;1;2;5;4;2;2;5;1;1;5;5;4;5;5;4;2;5;4;4;2;4;4;2;2;3;2;4;4;4;3;4;1;3;2;2;50251,11;53204,44;44233,75;51300;43621,43;48861,11;1;29;1;3;2;1,25;2;2;0;1,38300826621057;1,72884033065199;1,33749350984926;0,391346820802733;90,2771906664372;-0,269791154563572;1,35294253726752e-16;0,2641
